,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
,139,29,Computer Engineering,Raad R.; Inaty E.; Fortier P.; Shalaby H.M.H.,"Raad, Robert (16022977800); Inaty, Elie (35581329200); Fortier, Paul (35579080000); Shalaby, Hossam M.H. (7005248344)",16022977800; 35581329200; 35579080000; 7005248344,"Optical S-ALOHA/CDMA systems for multirate applications: Architecture, performance evaluation, and system stability",2006,Journal of Lightwave Technology,24,5,,1968,1977,9,17,10.1109/JLT.2006.872684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646943488&doi=10.1109%2fJLT.2006.872684&partnerID=40&md5=2359fba898a0346b5b563724616f0eca,Article,Final,,Scopus,2-s2.0-33646943488,
,140,30,Computer Engineering,Al Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Al Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Towards an automatic image co-registration technique using edge dominant corners primitives,2015,Integrated Computer-Aided Engineering,22,1,,1,19,18,6,10.3233/ICA-140475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921534080&doi=10.3233%2fICA-140475&partnerID=40&md5=a1c56af11cfe8a796a984751659e6eab,Article,Final,,Scopus,2-s2.0-84921534080,
,141,31,Computer Engineering,Akkad G.; Mansour A.; Elhassan B.; Inaty E.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); Elhassan, Bachar (6603225120); Inaty, Elie (35581329200)",57194069549; 7202587376; 6603225120; 35581329200,A Modified RC-pLMS Adaptive Beamformer for Secure Digital Communication,2021,"2021 IEEE 3rd International Multidisciplinary Conference on Engineering Technology, IMCET 2021",,,,1,5,4,0,10.1109/IMCET53404.2021.9665588,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124946335&doi=10.1109%2fIMCET53404.2021.9665588&partnerID=40&md5=2b5d0cb89c8b33c570d79479e0907081,Conference paper,Final,,Scopus,2-s2.0-85124946335,
,142,32,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.; Ayoubi R.,"Akkad, G. (57194069549); Mansour, A. (7202587376); ElHassan, B. (6603225120); Inaty, E. (35581329200); Ayoubi, R. (6505834540)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540,Two stages parallel LMS structure: A pipelined hardware architecture,2021,European Signal Processing Conference,2021-January,,9287770,2363,2367,4,1,10.23919/Eusipco47968.2020.9287770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099319678&doi=10.23919%2fEusipco47968.2020.9287770&partnerID=40&md5=3701af53bf60e8ab3b0e4cb0cd56cb3c,Conference paper,Final,,Scopus,2-s2.0-85099319678,
,143,33,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.,"Akkad, G. (57194069549); Mansour, A. (7202587376); ElHassan, B. (6603225120); Inaty, E. (35581329200)",57194069549; 7202587376; 6603225120; 35581329200,A multi-stage parallel LMS structure and its stability analysis using transfer function approximation,2021,European Signal Processing Conference,2021-January,,9287604,1851,1855,4,3,10.23919/Eusipco47968.2020.9287604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099305918&doi=10.23919%2fEusipco47968.2020.9287604&partnerID=40&md5=c7ebec68c1419b1cba9c498032216fa7,Conference paper,Final,,Scopus,2-s2.0-85099305918,
,144,34,Computer Engineering,Abche A.B.; Toulani J.-P.; Inaty E.; Karam E.,"Abche, Antoine B. (12790838700); Toulani, Jean-Paul (42662273300); Inaty, Elie (35581329200); Karam, Elie (57193540175)",12790838700; 42662273300; 35581329200; 57193540175,Medical image transmission over multi core optical fiber using two stages CDMA technique,2011,"5th International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2011",,,5780447,,,,1,10.1109/icbbe.2011.5780447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960120409&doi=10.1109%2ficbbe.2011.5780447&partnerID=40&md5=f034c44d161a4e24faf9504e4bd3710c,Conference paper,Final,,Scopus,2-s2.0-79960120409,
,145,35,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.,"Inaty, Elie (35581329200); Shalaby, Hossam M. H. (7005248344); Fortier, Paul (35579080000)",35581329200; 7005248344; 35579080000,Multi-class/multi-rate overlapped optical FFH-CDMA system: SIR performance evaluation and cutoff rates analysis,2004,IEEE International Conference on Communications,3,,,1714,1719,5,2,10.1109/icc.2004.1312802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4143103840&doi=10.1109%2ficc.2004.1312802&partnerID=40&md5=97e4bdaa07faff38c06e3c8f77c50b02,Conference paper,Final,,Scopus,2-s2.0-4143103840,
,146,36,Computer Engineering,Inaty E.; Fortier P.; Rusch L.A.,"Inaty, Elie (35581329200); Fortier, Paul (35579080000); Rusch, Leslie A. (7003952126)",35581329200; 35579080000; 7003952126,SIR performance evaluation of a multirate OFFH-CDMA system,2001,IEEE Communications Letters,5,5,,224,226,2,18,10.1109/4234.922767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035334459&doi=10.1109%2f4234.922767&partnerID=40&md5=50a3e9d02ed349db81e69f2d63502374,Article,Final,,Scopus,2-s2.0-0035334459,
,147,37,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); ElHassan, Bachar (6603225120); Inaty, Elie (35581329200)",57194069549; 7202587376; 6603225120; 35581329200,Stability analysis of the RC-PLMS adaptive beamformer using a simple transfer function approximation,2021,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",2021-June,,,4645,4649,4,0,10.1109/ICASSP39728.2021.9413445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114877056&doi=10.1109%2fICASSP39728.2021.9413445&partnerID=40&md5=4815ef5195f05c38e1daef381d9f793a,Conference paper,Final,,Scopus,2-s2.0-85114877056,
,148,38,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Maier M.,"Inaty, E. (35581329200); Raad, R. (16022977800); Fortier, P. (35579080000); Maier, M. (35485001300)",35581329200; 16022977800; 35579080000; 35485001300,Delay-constraint fair resource allocation scheme for an optical overlapped code-division multiple access-based optical network: A cross-layer approach,2011,IET Communications,5,10,,1421,1429,8,0,10.1049/iet-com.2010.0411,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053232733&doi=10.1049%2fiet-com.2010.0411&partnerID=40&md5=10caa550a57c3fb8bb0c0fbb3813ccd7,Article,Final,,Scopus,2-s2.0-80053232733,
,149,39,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.,"Inaty, Elie (35581329200); Shalaby, Hossam M.H. (7005248344); Fortier, Paul (35579080000)",35581329200; 7005248344; 35579080000,A new transmitter-receiver architecture for noncoherent multirate OFFH-CDMA system with fixed optimal detection threshold,2002,Journal of Lightwave Technology,20,11,,1885,1894,9,8,10.1109/JLT.2002.806358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036875184&doi=10.1109%2fJLT.2002.806358&partnerID=40&md5=b4daa2b84e3b3a7961b3dd4222c18991,Article,Final,,Scopus,2-s2.0-0036875184,
,150,40,Computer Engineering,Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Minutiae and corner detection in fingerprints without image enhancement for real time recognition,2017,"2017 8th International Conference on Information, Intelligence, Systems and Applications, IISA 2017",2018-January,,,1,6,5,2,10.1109/IISA.2017.8316356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047753179&doi=10.1109%2fIISA.2017.8316356&partnerID=40&md5=85cd76b3749c074b477ba09d0aaa9f7a,Conference paper,Final,,Scopus,2-s2.0-85047753179,
,151,41,Computer Engineering,Al Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Al Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,A Robust Edge-Based Corner Detector (EBCD),2014,International Journal of Image and Graphics,14,4,1450018,,,,5,10.1142/S0219467814500181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047755114&doi=10.1142%2fS0219467814500181&partnerID=40&md5=5485ff0049f668604e6d90fa53913fb2,Article,Final,,Scopus,2-s2.0-85047755114,
,152,42,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,A unified framework of the performance evaluation of optical time-wavelength code-division multiple-access systems,2009,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering",6 LNICST,,,341,353,12,0,10.1007/978-3-642-04648-3_26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885891593&doi=10.1007%2f978-3-642-04648-3_26&partnerID=40&md5=8770bf582e5ac841ee9794fd42f3d925,Conference paper,Final,,Scopus,2-s2.0-84885891593,
,153,43,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Shalaby H.M.H.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Shalaby, Hossam M.H. (7005248344)",35581329200; 16022977800; 35579080000; 7005248344,A fair QoS-based resource allocation scheme for a time-slotted optical OV-CDMA network: A unified approach,2009,Journal of Lightwave Technology,27,1,,2,11,9,2,10.1109/JLT.2008.929123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-61649119932&doi=10.1109%2fJLT.2008.929123&partnerID=40&md5=527d38db35101283a2222ebcd549cb06,Article,Final,,Scopus,2-s2.0-61649119932,
,154,44,Computer Engineering,Akkad G.; Mansour A.; Elhassan B.A.; Inaty E.; Ayoubi R.; Srar J.A.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); Elhassan, Bachar A. (6603225120); Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540); Srar, Jalal A. (21743435800)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540; 21743435800,A Pipelined Reduced Complexity Two-Stages Parallel LMS Structure for Adaptive Beamforming,2020,IEEE Transactions on Circuits and Systems I: Regular Papers,67,12,9099039,5079,5091,12,21,10.1109/TCSI.2020.2994812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097349410&doi=10.1109%2fTCSI.2020.2994812&partnerID=40&md5=f4f66dac266747881aa099efde0be5aa,Article,Final,,Scopus,2-s2.0-85097349410,
,155,45,Computer Engineering,Inaty E.; Raad R.; Fortier P.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000)",35581329200; 16022977800; 35579080000,CDMA based dynamic bandwidth allocation (CDBA) scheme for EPON,2012,IEEE International Conference on Communications,,,6364134,3133,3138,5,0,10.1109/ICC.2012.6364134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871965899&doi=10.1109%2fICC.2012.6364134&partnerID=40&md5=aff37688d8b48ef5dc0c84e597d52f9c,Conference paper,Final,,Scopus,2-s2.0-84871965899,
,156,46,Computer Engineering,Inaty E.; Sleiman M.,"Inaty, Elie (35581329200); Sleiman, Marwan (15924192400)",35581329200; 15924192400,Bandwidth provisioning in internet access nodes using EWMA and ADM algorithms,2007,ICSPC 2007 Proceedings - 2007 IEEE International Conference on Signal Processing and Communications,,,4728372,528,531,3,0,10.1109/ICSPC.2007.4728372,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349118764&doi=10.1109%2fICSPC.2007.4728372&partnerID=40&md5=648de9a84936734697abb4d2836ce495,Conference paper,Final,,Scopus,2-s2.0-60349118764,
,157,47,Computer Engineering,Inaty E.; Shalaby H.M.H.; Fortier P.; Rusch L.A.,"Inaty, Elie (35581329200); Shalaby, Hossam M. H. (7005248344); Fortier, Paul (35579080000); Rusch, Leslie A. (7003952126)",35581329200; 7005248344; 35579080000; 7003952126,Multirate optical fast frequency hopping CDMA system using power control,2002,Journal of Lightwave Technology,20,2,,166,177,11,101,10.1109/50.983229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036474104&doi=10.1109%2f50.983229&partnerID=40&md5=397349991507a1710b30c2bb9703377b,Article,Final,,Scopus,2-s2.0-0036474104,
,158,48,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,A finite state Markov chain-based umbrella cell channel model for fast mobile users,2006,"2006 International Conference on Wireless Communications, Networking and Mobile Computing, WiCOM 2006",,,4149268,,,,0,10.1109/WiCOM.2006.91,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749108761&doi=10.1109%2fWiCOM.2006.91&partnerID=40&md5=818ff0d72df026356ce08ce59e97d618,Conference paper,Final,,Scopus,2-s2.0-42749108761,
,159,49,Computer Engineering,Raad R.; Inaty E.; Fortier P.; Shalaby H.M.H.,"Raad, Robert (16022977800); Inaty, Elie (35581329200); Fortier, Paul (35579080000); Shalaby, Hossam M.H. (7005248344)",16022977800; 35581329200; 35579080000; 7005248344,Optimal resource allocation scheme in a multirate overlapped optical CDMA system,2007,Journal of Lightwave Technology,25,8,,2044,2053,9,11,10.1109/JLT.2007.901337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548148229&doi=10.1109%2fJLT.2007.901337&partnerID=40&md5=5bbb9a5624dc1db648683aa118daadbb,Article,Final,,Scopus,2-s2.0-34548148229,
,160,50,Computer Engineering,Inaty E.; Raad R.; Maier M.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Maier, Martin (35485001300)",35581329200; 16022977800; 35485001300,Generalized Multi-Access Dynamic Bandwidth Allocation Scheme for Future Generation PONs: A Solution for Beyond 5G Delay/Jitter Sensitive Systems,2022,Journal of Lightwave Technology,40,2,,452,461,9,14,10.1109/JLT.2021.3098106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111029038&doi=10.1109%2fJLT.2021.3098106&partnerID=40&md5=5d62cdf33be5b4ee9cc7ca477038210b,Article,Final,,Scopus,2-s2.0-85111029038,
,161,51,Computer Engineering,Inaty Elie; Rusch Leslie A.; Fortier Paul,"Inaty, Elie (35581329200); Rusch, Leslie A. (7003952126); Fortier, Paul (35579080000)",35581329200; 7003952126; 35579080000,Multirate optical fast frequency hopping CDMA system using power control,2000,Conference Record / IEEE Global Telecommunications Conference,2,,,1221,1227,6,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034475816&partnerID=40&md5=26410573c951e3c15fc97477370d6982,Conference paper,Final,,Scopus,2-s2.0-0034475816,
,162,52,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,On the resource allocation strategy for an OV-CDMA based multirate system,2020,EW 2007 - 13th European Wireless Conference: Enabling Technologies for Wireless Multimedia Communications,,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086527512&partnerID=40&md5=72a1bcd546661bc6b3cc66ea1c2135f3,Conference paper,Final,,Scopus,2-s2.0-85086527512,
,163,53,Computer Engineering,Inaty E.; Raad R.; Fortier P.; Maier M.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Fortier, Paul (35579080000); Maier, Martin (35485001300)",35581329200; 16022977800; 35579080000; 35485001300,A cross layer fair resource allocation scheme for an OV-CDMA based optical network,2010,Proceedings of the Mediterranean Electrotechnical Conference - MELECON,,,5476289,1575,1580,5,0,10.1109/MELCON.2010.5476289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954252489&doi=10.1109%2fMELCON.2010.5476289&partnerID=40&md5=b7dd872fa4c117a59db79c4bde613aa8,Conference paper,Final,,Scopus,2-s2.0-77954252489,
,164,54,Computer Engineering,Inaty E.; Ghostine C.,"Inaty, Elie (35581329200); Ghostine, Charbel (8241292500)",35581329200; 8241292500,Overlapped FFH-CDMA and variable processing gain FFH-CDMA: Performance evaluation and comparison,2004,IEEE Vehicular Technology Conference,59,3,,1436,1440,4,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15344346749&partnerID=40&md5=9e3073dc4f6bb713bbbac6b63b4b7431,Conference paper,Final,,Scopus,2-s2.0-15344346749,
,165,55,Computer Engineering,Raad R.; Inaty L.; Maier M.,"Raad, Robert (16022977800); Inaty, Lie (35581329200); Maier, Martin (35485001300)",16022977800; 35581329200; 35485001300,Improving Latency and Jitter Performance in CDMA-Based Next-Generation Ethernet Passive Optical Networks for 5G Applications,2019,"2019 IEEE 38th International Performance Computing and Communications Conference, IPCCC 2019",,,8958757,,,,3,10.1109/IPCCC47392.2019.8958757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079100938&doi=10.1109%2fIPCCC47392.2019.8958757&partnerID=40&md5=9b9364e2963891d2df143cb19d8b3fa1,Conference paper,Final,,Scopus,2-s2.0-85079100938,
,166,56,Computer Engineering,Al Nachar R.; Inaty E.; Bonnin P.J.; Alayli Y.,"Al Nachar, Rabih (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Polygonal approximation of an object contour by detecting edge dominant corners using iterative corner suppression,2014,VISAPP 2014 - Proceedings of the 9th International Conference on Computer Vision Theory and Applications,1,,,247,256,9,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906908501&partnerID=40&md5=478bd6e72745854bcabb95a16a85ee7e,Conference paper,Final,,Scopus,2-s2.0-84906908501,
,167,57,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,A multiservice WLAN using a radio resource scheduler,2010,European Transactions on Telecommunications,21,1,,90,100,10,4,10.1002/ett.1369,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76649086337&doi=10.1002%2fett.1369&partnerID=40&md5=09b5803cf64126a14ea91a9f81f0c827,Article,Final,,Scopus,2-s2.0-76649086337,
,168,58,Computer Engineering,Inaty E.; Raad R.; Tablieh N.,"Inaty, Elie (35581329200); Raad, Robert (16022977800); Tablieh, Nicole (54396248100)",35581329200; 16022977800; 54396248100,Impact of optical hard limiter on the performance of an optical overlapped-code division multiple access system,2011,Optical Engineering,50,8,85003,,,,1,10.1117/1.3607415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81355123993&doi=10.1117%2f1.3607415&partnerID=40&md5=c200477f7bfdba908b701a0249b77b50,Article,Final,,Scopus,2-s2.0-81355123993,
,169,59,Computer Engineering,Nachar R.A.; Inaty E.; Bonnin P.J.; Alayli Y.,"Nachar, Rabih Al. (56266974500); Inaty, Elie (35581329200); Bonnin, Patrick J. (7006630065); Alayli, Yasser (6701861433)",56266974500; 35581329200; 7006630065; 6701861433,Breaking down Captcha using edge corners and fuzzy logic segmentation/recognition technique,2015,Security and Communication Networks,8,18,,3995,4012,17,15,10.1002/sec.1316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959340664&doi=10.1002%2fsec.1316&partnerID=40&md5=5d36e9ae1426c3cc48b2509daf021484,Article,Final,,Scopus,2-s2.0-84959340664,
,170,60,Computer Engineering,Inaty E.,"Inaty, Elie (35581329200)",35581329200,Throughput and delay analysis of a S-ALOHA/OV-DS-CDMA MAC protocol over the IEEE 802.15.3 WPAN,2007,ICSPC 2007 Proceedings - 2007 IEEE International Conference on Signal Processing and Communications,,,4728248,33,36,3,0,10.1109/ICSPC.2007.4728248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349090584&doi=10.1109%2fICSPC.2007.4728248&partnerID=40&md5=ff8a2fb775958b70e705ad48ec738663,Conference paper,Final,,Scopus,2-s2.0-60349090584,
